title,date,rating,review
" A Surprised Korean Treat
",2020-10-26 00:00:00,8,"A Korean Cinema is a different cuisine as compare to regular Hollywood Flicks. The Wailing is a surprising piece of artistic cinema that leaves more questions than answers. It's a long movie but it builds a narrative to confuse the audience and in a good way, it doesn't relies on scary jumps and special effects. It relies on it;s story to carry forward with support from the actors which do justice to their roles. A psychological horror rather an out an out horror movie. Great cinematography and tight direction builds on the suspense. Stop comparing and you will be surprised. Key: must have patience."
" +/-
",2020-10-26 00:00:00,7,"+: Great Cinematography, entertaining, keeps you genuinely guessing, child actress was spectacular
-:uneven pacing, some overacting by adults, meandering, too many loose ends and red herrings, end felt unsatisfying"
" Too long, story makes little sense
",2020-10-25 00:00:00,5,"There were nice ideas here and movie looks good but in the end little made sense. Movie is too long so the interesting parts are burried. Unfortunately Wailing fails as horror as well. There are supernatural elements, some possesed humans and strange murders but all of it is neither scary or engaging."
" Good concept, flawed execution
",2020-10-23 00:00:00,6,"It's a bit too long and a bit too slow. It has horror elements but it really isn't a scary film. The ending is pretty good and by far the highlight of the movie.
Final rating: 6.4/10"
" Absolute horror masterpiece
",2020-10-20 00:00:00,8,"This movie is absolutely phenomenal. The acting, the cinematography, the screenwriting, the directing, it's all nearly perfect. Hyo-Jin's actress absolutely steals the show of any scene she is in. There is not one stale or bad performance! The main part of the movie that drives it into masterpiece territory, is the last 30 minutes. This movie is very scary, which is very hard to pull off when your movie has little to no jump scares. All in all, this movie is very good. 8/10"
" Exorcism overkill
",2020-10-20 00:00:00,3,"The first hour fairly entertaining, then I came to the 10-15 minute long exorcism chanting scene which I guess is why the movie was excessively long and couldn't take any more."
" A slow burning suspenseful well crafted movie
",2020-10-19 00:00:00,8,"I just got done watching the wailing and it's is a really good slow burning horror film. this film is over all is really well put together through the performances by everyone in the cast the directing ,the cinematography ,the score and it's editing These aspects are Very well done. The script is a very well paced and very suspenseful story that was reminiscent of Rosemarys it had me at times questioning what was going on luckily most of my questions were answered and the rest I had to answer myself this did lead to some moments during my watching experience where it took me out of the movie since I had to think about what was going on. While I had my minor gripes with the film I do think this is a very well crafted drama that most people should watch So if you're interested in horror films that take a back seat to gore and jump scares and focus more on characters and creating a compelling and complex narrative I'd suggest picking this one up"
" Full of thrill
",2020-10-13 00:00:00,8,The movie makes me wet.... because the movie was amazing.The story line was on point.Moreover everything was quite perfect. solid punch frim dirrector and coreographar.
" Terrible ending
",2020-10-10 00:00:00,6,"The first half of the film is funny and light hearted. The second half has a decidedly different tone to it. The transition is abrupt, which makes the second half feel disjointed from the first. That is acceptable but the ending is not. It is so terrible they should have rewritten it. It simply makes no sense and ruins the entire film. As the end credit starts rolling, my jaw drops to the floor..."
" Long boring movie that makes little to no sense
",2020-10-08 00:00:00,1,"Everyone screams and acts like a sissy teenage girl. A lot of scenes dragged unnecessary long. Started out ok, but turned dreadfully boring and tedious."
" I was on the edge of my seat.
",2020-10-07 00:00:00,10,I think south korean and Japanese cinema get the horror genre..its not about cheap jump scares but setting the tone of the environment around you...It's been a while since i saw some good thriller/horror movie..like really the last 20 min was so fkin intense.
" There basically is no conclusion/ending
",2020-10-05 00:00:00,3,"2 and 1/2 hours is a long time to commit to a movie. All throughout this movie, you expect some revelation, something to bring everything together. For all the pieces to align. Some explanation in the end about what and why everything is happening. But, in the end, your just left with questions and a lot of disappointment. I have no idea why this movie has gotten such great reviews. it's really not that good.SPOILERS.In the end when our main character confronts the lady in white. He noticed pieces throughout the movie. The clothes of two of the victims. And the lady just says 'that's not it'. Well then what is it!?!?!
WHY. What would have happened if he waited for the 3rd rooster crow? Would the daughter have still murdered the mother and grandmother but have walked thru the gate and been healed? There's just no explanation at the end.
The entire ending with the Japanese man was just absolutely awful and I hated it.The main actor was great and it was shot really well, but that's not even close to making this watchable. hard pass for me.
Still the best thriller in my opinion is Memories of Murder and nothing else has ever come close."
" One of my favorites
",2020-09-28 00:00:00,9,"I first saw this movie over a year ago and I loved it. I wasn't tracking my movies and rating them back then so I decided to revisit it today.I've decided this is one of my favorite horror movies. I love Korean and Japanese horror, so maybe I'm biased. But this is exactly the type of film I look for. Dark, mysterious, maybe a little supernatural, and no jump scares. It's not the type of film to be always on the move trying to get you to jump out of your seat. It unnerves you, makes you think, makes you feel for the characters. There's even some well placed humor here and there, making the characters seem more realistic, not everyone is so glum and serious in real life.There's also of course a lot of gore, but it's not just a zombie flick if that's what you're expecting. Be prepared for lots of twists and turns, this movie is a lot deeper than it appears on the surface."
" Waste of time
",2020-09-27 00:00:00,5,Not a single likable character in the movie. The main protagonist inspector was cringe to say the least. After sitting for 2 and half hour you get half of a story. So many unanswered questions. Pointless movie. One good thing i have to say about the movie is locations and cinematography.
" Reviews got me hyped for nothing!
",2020-09-23 00:00:00,2,"It's really bad, the acting is aight' but the writing is just awful.. Not the ""posessed"" people are the Problem, the main characters are so badly written the things they do make no sense at all. The movie is too long for what it is and all I was hoping for was that it will get better because of the good reviews here but it just got cringe and hard to watch. I watched the whole thing because I thought something mindblowing will happen but there was nothing! Just don't watch it, for the sake of your time. It's not creepy at all and boring af, there is a scene where a guy does some shaman BS and he does this like 15-20 mins. And the whole scene you just hear drums and loud people it was almost the worst Part of the movie and I wish I ended it there but I watched it till the end and Oh boy.. It was REALLY not worth it!"
" One of the best disturbing horror film
",2020-09-21 00:00:00,9,Even with slow pace and some questionable character action The Wailing still give me one of the best disturbing horror story its also have a good cinematic and great cast of actor
" Overrated
",2020-09-19 00:00:00,5,"I was pretty excited for this movie after my friend suggested me & also after seeing film's high rating.In starting, film was going in good pace but after 45 minutes I was not able to take it anymore. It was unnecessary stretched. The director could have shown us much better in 2hr 30min.In between the movie, I was confused if I was watching horror or drama movie. I can keep on going on how bad this movie is compared to the reviews you read here.Overall, will not recommend this movie. Will recommend you to see better movies of same runtime (2hr 30min)."
" An excellent film in the horror genre
",2020-09-02 00:00:00,3,"What I can say mostly about this movie is that if you don't mind reading subtitles for 2½ hours then this movie's for you. Me, I rather read the book if it's available in English."
" A great mystery that becomes nonsensical
",2020-09-01 00:00:00,5,"The first 2/3rds of this movie were extremely enjoyable. I didn't mind the slight mixing of genres, it gave the town a atmosphere that let the viewers know that it is usually a fairly relaxed place, and the activities are very out of the ordinary.However during the final 1/3rd of the movie I became bored of trying to figure things out, and it quickly became clear that all the answers were equally wrong. This is the sort of movie that you google theories for afterwards and still come away annoyed and confused."
" A unique horror film twisted with cultural references that elevate the narrative.
",2020-08-24 00:00:00,8,"The Wailing is a fascinating twist of various horror genres that range from plague, ghosts, witchcraft, zombies, and possessions. To complicate the story even more, all of this is presented in a Korean context, which, if what I've read on the internet is true, adds countless cultural references that a Western movie watcher like myself wouldn't understand.If you want a unique horror film that's twisted into a crime procedural drama, almost like The Exorcist III (1990), I would highly recommend this film."
" The best there is.
",2020-08-23 00:00:00,10,"This is probably the best thriller out there. This is an absolutely amazing masterpiece. The plot, pace and characters are just perfect."
" Don't waste Ur time
",2020-08-21 00:00:00,1,"It's not a horror or any scary. I don't knw, is actors are acting or over reacting. Pls don't waste Ur time"
" Awful and scattered storyline with unreasonable ending
",2020-08-09 00:00:00,1,"Actually, I got fooled by the positive reviews & rating of this movie. But pls don't get fooled by the ratings. This is one of the awful horror movie I have seen in my entire life.....Oh, ""Sorry, for calling it a horror movie, there was nothing horror in this movie. Well the story buildup was nice & catchy but as the movie proceed, you start seeing the flaws in the story. There was lot of gaps in the story, this is a movie without a main characters and the top point goes to its sense less and unreasonable ending.
Do not waste your time with this movie. Any other, B grade movie will be far better than this."
" Major hyped up reviews for this flick.
",2020-08-09 00:00:00,5,Its a movie that keeps you interested but it's hard to watch such inept characters bumble through it. Not been too impressed with Korean cinema so far. They all seem to have great stories with unimpressive characters that have as much common sense as a hammer. I think many reviewer think they are true art fans if they pump up cinema made outside the US even if it's mediocre filmmaking. What makes a good or bad film has nothing to do with its origin.
" Christian Agenda movie
",2020-08-05 00:00:00,1,"Overwhelmingly Christian agenda film.
Last scene where buddha statue is shown, is dead giveaway.
Church is working to brainwash about their stupid fear, death cult religion in South Korea.
Hope Lord Jesus will give you strength to reject him."
" Chilling, gripping, beyond perfection
",2020-08-03 00:00:00,10,"Best horror movie I've watched my entire life, deserves more than just 10 stars."
" Everything about this movie...
",2020-07-24 00:00:00,1,"......drove me crazy. Starting with the buffoonish police (worse than the Keystone Cops), scenes so dark you can't see a thing and not to mention everyone absolutely screaming in every scene! I lasted about 20 minutes before I couldn't take any more. Two and a half hours of torture? Hell no! Loved Train to Busan and Parasite, but this left me grating my teeth."
" Christian propaganda at its finest.
",2020-07-14 00:00:00,1,"The movie is artistic and i would have had no problem with the film except for the party where they made the bad shaman a buddist to show that other gods and their followers are the helpers of the devil.
The artsy part is that they used a horror film to justify bad things happening to people because of not having faith or rejecting god's help(typical christian lore). The bad and the ugly part is to go an extra mile and talk about other religions in a bad way. The shaman is shown to be a helper of the devil. The film intentionally establishes that he is a Buddha worshipper before revealing that he is a helper of the devil. He can be seen with his Buddha idol once in his place and again while he packs his stuff and tries to flee in his car. The second time is when it becomes evident. In the car, the Buddha statue is placed in a way that it is seen while driving, reminding the audience that he is Buddhist. Then later it is revealed that he helped the devil in misleading regular folks away from god's help by deceiving them and towards sin.
The Bible talks about other religions and their goods in a similar fashion. Bible says other spirits/gods that don't acknowledge Jesus/god is anti-christ or helpers of the devil.
It is one thing to throw in Bible references and using a little scare while promoting ones own religion but it is a new low for mainstream movie makers to throw mud on other's religions. It is disrespectful on the part of the writer and director Na Hong Jin. Another bad apple coming from a bad tree."
" is this even a horror movie?
",2020-07-13 00:00:00,4,"You know. There is the ""British humour"" that makes no one laugh, and there is the Korean horror that makes no one shiver.
The movie is just a slightly macabre version of ""Laurel & Hardy"", where hysterical characters in a rural Korean province are victims of a demonic possession.
No scare jumps. No dark atmospheres. No spine-chilling soundtrack. No growing tension in the plot. No suspence. The only good thing is that at least it's not the usual story of a catholic exorcism (this time it's about korean shamanism)."
" Fantastic Suspense Horror
",2020-07-12 00:00:00,8,"I loved this Korean horror, it has suspense, gore, and a twist. The Korean are doing it right at the moment they are letting the story captivate you instead of Hollywood were its all about the gimmicks"
" Horror movie genre redefined.
",2020-07-12 00:00:00,10,"Okay I dont write a lot of reviews, only for the ones I like a lott and this movie is one of them. Its one of the top 3 horror movies Ive ever watched. What do you see in today's horror movies? Jump scares and scary ghosts but this movie has redefined the horror movie genre. Without any jump scares or any scary looking ghosts it scares the crap out of you. It keeps you on the edge. Yes it takes some time to build up the story but it is worth it. A must watch."
" Curiously overrated
",2020-07-10 00:00:00,5,"Strange. Take 10 minutes to check all the reviews here. The cautious reader will notice a large amount of repetition in the wording of reviews, allegedly by different people. The word ""masterpiece"" is thrown around quite a bit and many gave this film a 9 or 10 out of 10. I am here to say that this is not a perfect film as claimed by these reviews.Go ahead. Give this movie half an hour. Do you agree it's a masterpiece yet? If you're worried about unfairly judging it, sacrifice the whole 2-and-a-half hours of your life. If you believe it's a masterpiece as alleged by that point, please post your review explaining why.My issues:* As pointed out by many reasonable viewers on this site, the main characters were laughable - Korean keystone cops! Literally falling around on the ground, screaming and yelling at every opportunity, and just generally doing a poor job. Hello writers - your protagonist has to be relatable and no-one wants to relate to a bumbling fool.* Which reminds me - to preemptively shut up the patronizing racists who gave this movie a 10 out of 10 (!!!) simply because it's Korean / ""foreign"", no, it's not a cultural difference thing. Memories of Murder was a great Korean film featuring cops that suffered few if any of the ridiculous flaws that this alleged masterpiece has.* The movie didn't know if it wanted to be a comedy, action, horror, thriller, mystery, or....anything. Many simple tropes are thrown around, most with no clear resolution.* Uh, The Irishman was too long - and this ain't no Irishman. There is no excuse for dragging this mess on for 2 1/2 hours. Poor editing.* Terrible writing. What was the point of the priest and / or the shaman? Was the villain a Japanese guy just because of racism? What was the real story with the female ghost? Was the kid still haunted at the end? Whatever happened with the dude in the pickup truck? Come on - after giving hours of our lives to this thing at least throw some basic answers our way.Stay cautious. Most critical reviews are trying to warn / help you. The glowing reviews are almost certainly shills or idiots ( 10 out of 10? Really?). Don't waste your time like I did. Yes, this movie delivers on wailing during the movie - there's a lot of it - but you don't want to be wailing AFTER it."
" A waste of time
",2020-06-24 00:00:00,1,Can't they do anything better? Rubbish. They should be ashamed
" Patience and (or) trust
",2020-06-21 00:00:00,10,"Watching this, quite a few things may confuse you. The story is not easy at all. It is about good and evil though. It is about how we perceive the world and what we make of it. It is about many things, a lot of you may experience and see, that the person next to you may not see.The movie is made to be watched more than once. I had heard about the Wailing and how good it supposedly is - well now I can leave the supposedly part away. It is as good as people say it is. And it is another example of south korean filmmaking that not few see as a powerhouse in the world right now (some may argue it has been for quite some time now). This movie is another example for just that.It is also a movie about prejudice, about how small our world is and how we react to an outside ""influence"". How things collapse and what society is capable of ... again so many things to discover here. Now that being said, it doesn't mean you will like the movie. Or that if you don't like it, it doesn't mean you have no taste in movies. That is the great thing about films. We all have different tastes and we all value things different. You may just want to see explosions. And that's more than fine. But it's not what you'll get here ... not for the weak hearted or squeamish just to be clear though ... this is brutal .. to watch!"
" Worst climax I have ever seen
",2020-06-19 00:00:00,2,The starting was good..i though it is going somewhere but. End wasbso terribly written.. Dispointing movie.. Who gave this movie 7 star... It is a 2 star movie because of the end.
" It's all what's good about Korean thrillers!
",2020-06-12 00:00:00,8,"An excellent movie. This is a must see film. This movie really works your brain in some parts too. This is my first foreign horror film and I can tell you right now this is leaving an amazing first impression. Korea brought us Parasite and this? Incredible. Within the top 3 horror films of the past 10 years, it's that good"
" Such a roller coster, this isn't just a scary movie
",2020-06-09 00:00:00,9,"I learnt a lot about fate in this movie, i can reflect a lot about devil because i have a religion to begin with. Never have i ever reflect about what happened in my life after watching scary movie, except ""munafik"" and this movie. It scares me and stress me so much, but i still accept and enjoy the movie. The plot twisted was really effective and good, it made movie better, i wondered what happen if they just make it simple and subtle, it will still be great i guess, but not this great as what happened after the plot twist."
" 1 hour too long mashed genre
",2020-06-06 00:00:00,5,If you watch this movie without knowing the synopsis you will keep guessing what this movie is all about.. Is it a crime movie? Is it a zombie movie or a monster movie? The early part is too slow and filled with annoying stupidity of those sissy policemen.. The multiple plot twists within the last 10 minutes are the only part that I enjoy but it could not save the whole rhythm of this movie.. Its unsettling but it does not create a lasting impression.. Well at least for me
" This film has more loose threads than a five dollar t-shirt.
",2020-06-05 00:00:00,3,"Don't do it! I did and I'm kicking myself. Every single scene is overly drawn out. I suppose that's meant to somehow build suspense, or atmosphere... or something. It doesn't. It just means more waiting for the ""denouement"" to arrive. And it never does! The only reason I didn't skip through it is because it was hard enough to follow at normal speed, and in a foreign language to boot!I DESPISE cowardly film makers who can't commit to a coherent ending. You're in the wrong field, ya time wasting losers. Either grow a pair or GTHO of the biz.If you decide to watch it anyway, at least put on some soft footwear beforehand, because you WILL kick yourself after sitting through this 60 minute horror ""episode""(at best) stretched out to over two and a half hours.You have been warned."
" An astonishing descent into hell
",2020-05-29 00:00:00,9,"This film is certainly not for everyone. If you are not a fan of the horror genre, you will probably find this film very difficult to watch. But I must say it was an astonishingly unique. A great perspective. An incredibly creepy and dark vision, and a fantastic execution of that vision. And a film that just transports you to a totally unique cinematic universe. Great characters. Great character development. Great performances. Fantastic direction. Very well written. This is a great film. Hollywood just does not know how to do movies like this. Horror has a different name and a different face in Korea. And it is not the weak, sanitized Hollywood version of it. But rather a vision of darkness and Hell on Earth. And total devastation. This movie was amazing. Korean cinema rocks! Why this director has not done dozens of movies is a real puzzle."
" Do not believe the hype
",2020-05-28 00:00:00,2,"With nothing but stellar reviews, 25 minutes in, the plot a shambles and the film boring, I had to check that I was watching the right flick!
One hour later, it occurred to me that this disaster of storytelling still had an hour to run... which, unfortunately, I sat through like a severe test of patience.Come the ending, I honestly wish I hadn't bothered and that more negative - sorry, realistic - reviews/comments of this overly long, dire mess of a film were being published, as I felt both cheated by the hype and resentful for the time invested in such crap.Note to nerds: not everything from Korea is a ""masterpiece""; sadly, this film is a great example."
" Trash
",2020-05-25 00:00:00,2,What in the holy jesus did I just watch? This movie was a complete waste of time. There is literally no plot in this movie. Nada. It's a mix of genres that drives you crazy. Don't believe the good reviews on here. Skip it.2 stars for the cinematography.
" Worst cops ever!
",2020-05-23 00:00:00,8,The story is good in general. With a pair of good cops the length of the movie will be much shorter
" Worth your 2.5 hours.
",2020-05-22 00:00:00,8,"The story starts in a small hilly South Korean village, where reports are coming of people dying mysteriously. Symptoms include rashes on the skin, and the victim becoming hyperactive.
The primary suspect is an old Japanese guy, who people thought, might have brought a virus with him, while others have a different theory about him.
The movie contains concepts of Korean and Japanese folklore, and might be worth of its time span. Its upon you, if you love horror movies with a thrill/twist in the plot at the end, this is for you."
" As Good as the Reviews Say
",2020-05-11 00:00:00,8,"I refer to both the user reviews and the professional reviews in the ""External Review"" section you get when clicking on ""More"" (near top of page).Running over two and a half hours is usually a bad sign for for both comedy and horror films. Not so here. Not a wasted shot, scene, or character. Everyone cast is perfect for the role they play.I did find it hard to champion the lead as he was clearly a cowardly man. Yet he was a police Sargent! The only times he showed strength was when angry or dealing with what was possessing his daughter. Otherwise he was a cry baby! The other Korean men did not fair much better.Is this an accurate portrayal of men in that culture? I suppose every culture has it's men who are more children than men. Or were they portrayed as such to give the film a comic relief amid the horror?? The Shaman was an exception.Fine story with surprising twists. I recommend it to all who can watch foreign films with subtitles."
" maybe some scenes won't be 100% understood by ""foreigners"", but it has unforgetable moments, a focus a vision, heart, it's scary and very well developed.
",2020-05-10 00:00:00,9,"I'm one of them - i'm from south europe, so pretty much far away from south korea. maybe i'm very wrong but there's some rituals here, some beliefs that seem specific to the country, even to the area where the director and screenwriter is from or has roots. not that us ""outsiders"" are unable to understand the whole thing, but maybe some specifications this movie presents won't be that well understood because there's some cultural background missing (and i already read one review that mentions some of it).the truth is: the movie works in all parameters for me: as an horror flick? definitely. a lot of scenes are very scary. as a horror comedy? yes, there are some fun bits here too. as a mystery? yes, we keep on guessing until the end, we don't know who's telling the truth after all. as a family drama: oh, definitely. now, are the themes here the ones i would put in a movie of mine? probably not. but that doesn't matter, it matters if they work in this film and they totally do.the characters: they do work, mostly the father and the daughter. but above all we can understand their decisions, because a lot of them are based on impulses, like you know? regular people. i also enjoyed the japanese man and the guy that comes to help, i think this latter guy has really cool scenes that i never saw that well portrayed in a movie. the plot is intricate yes, but i don't think it's that hard to follow. it's layered? it is. it has some stuff i didn't understand completely? yes. but the whole picture i didn't believe that hard to get.so: very good acting - mostly the daughter, layered characters, rich script , great pace (2 hours and a half...maybe in the first hour you have doubts, but when you understand what this movie is about, it flows wonderfully), very solid direction, beautiful cinematography... and above all a competence to make very unforgetable scenes. this is a movie that sticks with you, even if you didn't feel it in your guts: it's not a movie i totally identify with (mainly because of some of the themes), but is a piece of craft i can't anything but admire. be prepared: you really might love this one. very very well done."
" Needed tightening
",2020-05-02 00:00:00,5,"Painfully long. Several really stupid moments in the plot. Scenes where the oafish cop (who really should not have been a cop, it would have made more sense) emotes in overwrought ways. Director Na Hong-jin seems to elongate and repeat everything, and I thought that the bloat took away from the horror. I also didn't care much for the Japanese demonization and tossing the word Jap around, even though I understand at least a little about the painful history. The cinematography was solid and the final scene was pretty cool, but it came way too late. This film should have been an hour shorter and its script tuned to make more sense."
" Ambiguous with some wasted potential
",2020-04-23 00:00:00,5,"I am not going to sing praises for this movie as I thought it was far too long with some meandering plot and many small things adding up to be bothersome, but my personal interpretation left me feeling satisfied enough once it was finally over. I believe there is ambiguity in good or evil because there are no clear lines much like with real people. I think this is some kind of universe where there are unknown supernatural entities operating on their own, manipulating people as pawns and meddling in each other's business along the way. It is unclear who is lying versus telling the truth, working together or completely separately, choosing victims randomly or with reasons, etc. Maybe the woman was truthful and the shaman and Japanese man were in cahoots. Or maybe the Japanese man was truly a shaman, died in the car wreck, and was ultimately possessed or provided another vessel for the shaman or whatever empowered him. I don't think any logic can tie everything and everyone together so this is the most sensible solution in my mind. Viewers and characters end up assigning meaning to things that may not have meaning at all."
